true_label,pred_label,anomaly_score
0,0,3.3635466
0,0,5.919756
0,0,7.669233
0,0,2.4566536
0,0,3.9802797
0,0,2.3170383
0,0,4.776012
0,0,3.0397651
0,0,3.1873562
0,0,3.33407
0,0,15.428836
0,0,4.8728185
0,0,4.230468
0,0,2.5791895
0,0,2.2317765
0,0,2.7218716
0,0,3.896015
0,0,3.6978683
0,0,5.509429
0,0,3.9472291
0,0,3.5969272
0,0,2.9727902
0,0,2.9972706
0,0,3.2329412
0,0,4.817661
0,0,3.593916
0,0,5.076717
0,0,3.0264204
0,0,4.3351665
0,0,4.569227
0,0,3.1590223
0,0,4.4324756
0,0,2.9042513
0,0,2.8768454
0,0,4.0617857
0,0,2.8767064
0,0,6.988154
0,0,4.0506144
0,0,4.405211
0,0,2.8704638
0,0,2.977832
0,0,4.5092344
0,0,2.5393386
0,0,6.650704
0,0,3.7590988
0,0,2.9662216
0,0,4.6216493
0,0,4.8640018
0,0,4.5716968
0,0,8.082441
0,0,4.6778135
0,0,4.470466
0,0,3.753796
0,0,3.8012393
0,0,3.3825655
0,0,5.9404063
0,0,8.519292
0,0,3.4031954
0,0,5.7543917
0,0,7.657691
0,0,3.6612508
0,0,3.1477761
0,0,2.8283253
0,0,4.7288165
0,0,8.314015
0,0,4.1589727
0,0,3.8944073
0,0,3.0265126
0,0,2.9980485
0,0,2.5093405
0,0,3.7923107
0,0,3.6474946
0,0,4.6294556
0,0,3.8510435
0,0,3.8107326
0,0,4.710178
0,0,3.258043
0,0,2.8108356
0,0,4.37569
0,0,4.3380194
0,0,4.3769755
0,0,2.8359087
0,0,4.822196
0,0,5.1718287
0,0,3.9137983
0,0,4.0537558
0,0,3.6561978
0,0,2.850847
0,0,7.3121843
0,0,3.7801435
0,0,2.2637885
0,0,3.2619994
0,0,3.1922815
0,0,4.294112
0,0,3.0681477
0,0,2.8920062
0,0,3.9998336
0,0,3.8693674
0,0,3.0334544
0,0,6.2914376
0,0,4.331658
0,0,2.358032
0,0,8.169087
0,0,3.9408035
0,0,4.5620656
0,0,4.194843
0,0,3.3670816
0,0,4.6122255
0,0,2.9305427
0,0,4.0917625
0,0,3.204042
0,0,4.029783
0,0,3.3635113
0,0,3.4809697
0,0,2.5274847
0,0,4.331277
0,0,3.2415788
0,0,3.1426866
0,0,4.021773
0,0,4.726398
0,0,4.5965796
0,0,4.2213936
0,0,2.6366212
0,0,4.3380146
0,0,4.3170896
0,0,5.337993
0,0,2.8283641
0,0,3.6822677
0,0,3.6071157
0,0,4.141809
0,0,3.3347805
0,0,3.7152855
0,0,2.3329077
0,0,4.9141154
0,0,4.135724
0,0,3.517698
0,0,4.088797
0,0,2.3640223
0,0,4.0213714
0,0,3.594578
0,0,2.371711
0,0,3.0457513
0,0,2.8623583
0,0,3.2164898
0,0,5.123585
0,0,2.8077626
0,0,2.4585009
0,0,2.836381
0,0,3.046256
0,0,3.9362078
0,0,4.0619698
0,0,3.0356584
0,0,4.6269517
0,0,2.7316985
0,0,3.726784
0,0,5.255181
0,0,5.4298625
0,0,2.1628149
0,0,5.5610557
0,0,4.0967183
0,0,3.7712917
0,0,3.6992402
0,0,5.508138
0,0,3.9451706
0,0,2.2666562
0,0,12.089045
0,0,4.8738813
0,0,3.2215981
0,0,3.614009
0,0,3.8787804
0,0,4.561696
0,0,3.685847
0,0,4.604015
0,0,4.1900125
0,0,4.8050017
0,0,5.3734016
0,0,2.582518
0,0,2.8007884
